Classifier	Features Combination	Test Sets Error	Train Sets Error	AUC	F1 Score	Counter
2	[0, 3]	0.09962686567164178	0.0889	0.9555357142857143	0.8986526259320873	ESCC 139, EAC 128
3	[0, 1]	0.10022388059701491	0.095075	0.9545491071428571	0.8953625661249258	ESCC 139, EAC 128
4	[0, 1]	0.08947761194029852	0.055525000000000005	0.9541674107142858	0.90622534381232	ESCC 139, EAC 128
3	[0, 1, 2]	0.10097014925373134	0.1057	0.9530535714285715	0.8965183871454896	ESCC 139, EAC 128
3	[0, 2]	0.0935820895522388	0.09217499999999999	0.9529553571428571	0.9044485886804418	ESCC 139, EAC 128
5	[4, 3]	0.09970149253731343	0.08884999999999998	0.9524352678571429	0.8914855963307189	ESCC 139, EAC 128
5	[4, 3, 2]	0.09753731343283581	0.08105000000000001	0.9522366071428572	0.8931495124656482	ESCC 139, EAC 128
5	[4, 3, 2, 1]	0.08552238805970148	0.07794999999999999	0.9518683035714287	0.9053101815109673	ESCC 139, EAC 128
4	[0, 2]	0.07686567164179105	0.045500000000000006	0.9516629464285714	0.9215966490479017	ESCC 139, EAC 128
5	[0]	0.08723880597014926	0.074075	0.9514241071428572	0.9130164516089851	ESCC 139, EAC 128
3	[0, 3, 1]	0.11164179104477612	0.10425000000000001	0.9493973214285714	0.8860827510256474	ESCC 139, EAC 128
5	[4, 3, 1]	0.08917910447761195	0.076525	0.9490200892857144	0.9013494303000326	ESCC 139, EAC 128
3	[0, 3, 1, 2]	0.10470149253731342	0.104175	0.9450133928571428	0.8939404127109108	ESCC 139, EAC 128
4	[0, 3]	0.09186567164179105	0.05367500000000001	0.9449129464285714	0.9070485096482142	ESCC 139, EAC 128
3	[0, 3, 2]	0.10126865671641791	0.096575	0.9445580357142856	0.898390427895525	ESCC 139, EAC 128
4	[4, 3, 2]	0.09902985074626863	0.054924999999999995	0.9420513392857143	0.8932914763279252	ESCC 139, EAC 128
0	[4, 2, 1]	0.09388059701492538	0.079825	0.9419754464285713	0.8933773106857914	ESCC 139, EAC 128
3	[4, 3, 2]	0.1323134328358209	0.127475	0.9397723214285714	0.8593638400564403	ESCC 139, EAC 128
3	[4, 3]	0.13417910447761192	0.13025000000000003	0.9393035714285715	0.852185104109096	ESCC 139, EAC 128
0	[4, 2]	0.11380597014925373	0.11245000000000001	0.9380714285714287	0.8682486214404298	ESCC 139, EAC 128
0	[0]	0.08917910447761193	0.08252499999999997	0.9379464285714286	0.9130805452786674	ESCC 139, EAC 128
1	[4, 1, 3]	0.1103731343283582	0.102425	0.9364732142857143	0.8746851189013153	ESCC 139, EAC 128
1	[4, 1, 3, 2]	0.11223880597014924	0.10085000000000001	0.9359999999999999	0.8728728171562986	ESCC 139, EAC 128
4	[4, 3, 1, 2]	0.08776119402985075	0.06325000000000001	0.9358258928571428	0.9035085251108871	ESCC 139, EAC 128
2	[4, 3, 1, 2]	0.1085820895522388	0.10467499999999999	0.9340892857142857	0.8765421098526286	ESCC 139, EAC 128
4	[4, 3, 1]	0.08388059701492537	0.06435	0.933234375	0.9069448436731747	ESCC 139, EAC 128
4	[0]	0.1017910447761194	0.068175	0.9326361607142857	0.8967257281904899	ESCC 139, EAC 128
2	[4, 3, 1]	0.11425373134328357	0.10310000000000001	0.9303348214285714	0.869666516698039	ESCC 139, EAC 128
1	[4, 3, 2]	0.11962686567164178	0.11705	0.9266495535714284	0.8617239622248337	ESCC 139, EAC 128
2	[4, 3]	0.11992537313432836	0.11432500000000001	0.9265714285714286	0.8614754690903738	ESCC 139, EAC 128
2	[4, 3, 2]	0.11716417910447761	0.11532500000000002	0.9262053571428571	0.8647760828457777	ESCC 139, EAC 128
1	[4, 3]	0.11902985074626864	0.117425	0.9260915178571429	0.8630878423557836	ESCC 139, EAC 128
3	[4, 3, 1, 2]	0.16179104477611939	0.148225	0.9256830357142857	0.8267253151594387	ESCC 139, EAC 128
6	[4, 2, 1]	0.10917910447761192	0.0949	0.9231607142857143	0.8780356171088468	ESCC 139, EAC 128
3	[4, 3, 1]	0.16298507462686565	0.150925	0.9214598214285715	0.8220077012127319	ESCC 139, EAC 128
4	[4, 3]	0.11305970149253732	0.0699	0.9210111607142858	0.8760803363228229	ESCC 139, EAC 128
4	[4, 2]	0.11126865671641789	0.0747	0.9195691964285715	0.8783639046150025	ESCC 139, EAC 128
5	[4, 2]	0.10582089552238803	0.09445	0.9185111607142857	0.8815698869995573	ESCC 139, EAC 128
6	[4, 2]	0.1053731343283582	0.09419999999999998	0.9150044642857142	0.8807600051851421	ESCC 139, EAC 128
1	[4, 1, 2]	0.11768656716417909	0.11574999999999999	0.9144754464285715	0.8638203400749848	ESCC 139, EAC 128
5	[4, 2, 1]	0.09932835820895523	0.08579999999999999	0.9135379464285713	0.8890157148410013	ESCC 139, EAC 128
1	[4, 2]	0.11544776119402984	0.11574999999999999	0.9130848214285714	0.8660699853959233	ESCC 139, EAC 128
2	[4, 2]	0.12485074626865672	0.12165	0.9086250000000001	0.8572550550673245	ESCC 139, EAC 128
2	[4, 1, 2]	0.12231343283582088	0.11925000000000001	0.9077276785714287	0.8601376304808448	ESCC 139, EAC 128
4	[4, 1, 2]	0.10156716417910447	0.07792499999999998	0.907625	0.8866078030394999	ESCC 139, EAC 128
3	[4, 2]	0.14820895522388058	0.14205	0.9049821428571428	0.8342646332993443	ESCC 139, EAC 128
0	[3, 2, 1]	0.18589552238805968	0.17702500000000002	0.8965915178571429	0.8073622255442763	ESCC 139, EAC 128
3	[4, 1, 2]	0.15529850746268656	0.15132500000000002	0.8928660714285716	0.8266130424477268	ESCC 139, EAC 128
